;Código da Escola;Nome da Escola;Dependência Administrativa;Aprovação;Reprovação;Abandono;NO_REGIAO;SG_UF;TP_LOCALIZACAO;IN_INTERNET_ALUNOS;IN_INTERNET_APRENDIZAGEM;IN_LABORATORIO_INFORMATICA;IN_BIBLIOTECA;IN_BANHEIRO;IN_AGUA_POTAVEL;Energia;Esgoto;IN_BANHEIRO_PNE;IN_ACESSIBILIDADE_CORRIMAO;IN_ACESSIBILIDADE_ELEVADOR;IN_ACESSIBILIDADE_VAO_LIVRE;IN_ACESSIBILIDADE_RAMPAS;IN_ACESSIBILIDADE_SINAL_SONORO;IN_ACESSIBILIDADE_SINAL_TATIL;IN_ACESSIBILIDADE_SINAL_VISUAL
6930;32079338;EEEM PROF RENATO JOSE DA COSTA PACHECO;Estadual;98.3;1.2;0.5;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1
6931;32082193;ESCOLA AMERICA DE VITORIA;Privada;97.7;2.3;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
6932;32083882;ESCOLA MADAN;Privada;97.7;2.3;0;Sudeste;ES;Urbana;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0
6933;33036640;CE DOUTOR ARTUR VARGAS;Estadual;72.5;27.5;0;Sudeste;RJ;Urbana;0;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
6934;33037337;CE ROBERTO MONTENEGRO;Estadual;84.6;15.2;0.2;Sudeste;RJ;Urbana;0;0;1;1;1;1;1;1;1;1;0;1;1;0;0;0
6935;33133794;CENTRO EDUC MONTEIRO LOBATO;Privada;93.9;6.1;0;Sudeste;RJ;Urbana;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0
6936;33138141;COOPERATIVA EDUCACIONAL CAPACITAR;Privada;100;0;0;Sudeste;RJ;Urbana;0;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0
6937;33138737;CENTRO EDUCACIONAL INACIO MEDEIROS CENTRAL LTDA;Privada;96.7;3.3;0;Sudeste;RJ;Urbana;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1
6938;33095647;CIEP 419 BENIGNO BAIRRAL;Estadual;96.8;3.2;0;Sudeste;RJ;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0
6939;33026408;CIEP 148 PROFESSOR CARLOS ELIO VOGAS DA SILVA;Estadual;91.5;6.9;1.6;Sudeste;RJ;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0
6940;33026432;CE EDMUNDO SILVA;Estadual;88.2;7.7;4.1;Sudeste;RJ;Urbana;1;0;0;1;1;1;1;1;1;1;0;0;1;0;0;0
6941;33026440;CE PROFESSORA CLARICE COELHO MOREIRA CALDAS;Estadual;92.1;5.7;2.2;Sudeste;RJ;Urbana;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;0
6942;33166951;COLEGIO E CURSO ZEROHUM;Privada;100;0;0;Sudeste;RJ;Urbana;0;1;0;1;1;1;1;1;1;1;0;1;1;0;0;1
6943;33195463;COLEGIO SANT ANNA SEGMENTOS FINAIS LTDA;Privada;99.2;0.8;0;Sudeste;RJ;Urbana;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0
